rank,name,repo,github_url,category,language,stars,forks,open_issues,created,last_update,days_since_update,trend_score,trend_rank,priority,phase,editorial_pick,pub_dev,youtube_signal,yt_search,topics,description,planned_title,slug,status
262,Flutter-UI-Kits,leo-elstin/Flutter-UI-Kits,https://github.com/leo-elstin/Flutter-UI-Kits,UI/Components,Dart,1533,410,1,2019-02-16,2022-08-28,1418,383,349,Medium,P7,,,Medium,https://www.youtube.com/results?search_query=flutter+flutter-ui-kits,"flutter, flutter-demo, flutter-examples, flutter-ui, flutter-widget",Flutter UI Designs !! ,Build better Flutter UI with Flutter-UI-Kits,flutter-ui-kits,Planned
263,FlutterToast,ponnamkarthik/FlutterToast,https://github.com/ponnamkarthik/FlutterToast,Library/Tooling,Objective-C,1530,433,100,2018-04-08,2026-05-21,56,1300,189,Medium,P4,,,Low,https://www.youtube.com/results?search_query=flutter+fluttertoast,"android, custom-toast, desktop, flutter, flutter-package, flutter-plugin",Toast Plugin for Flutter,FlutterToast: a Flutter developer's guide,fluttertoast,Planned
264,VelocityX,iampawan/VelocityX,https://github.com/iampawan/VelocityX,UI/Components,Dart,1504,219,15,2020-03-16,2025-02-23,508,376,352,Low,P8,,,Medium,https://www.youtube.com/results?search_query=flutter+velocityx,"component, dart, extension-methods, flutter, framework, hacktoberfest",A minimalist Flutter framework for rapidly building Flutter apps.,Build better Flutter UI with VelocityX,velocityx,Planned
265,rive-flutter,rive-app/rive-flutter,https://github.com/rive-app/rive-flutter,Animation,Dart,1493,235,79,2019-12-03,2026-07-07,9,1493,179,Medium,P4,,,Low,https://www.youtube.com/results?search_query=flutter+rive-flutter,"animation, design, flutter, game-development, rive, ui",Flutter runtime for Rive,Beautiful Flutter animations with rive-flutter,rive-flutter,Planned
266,bonfire,RafaelBarbosatec/bonfire,https://github.com/RafaelBarbosatec/bonfire,Library/Tooling,Dart,1459,193,8,2020-03-13,2026-06-09,37,1240,194,Medium,P4,,https://pub.dev/packages/bonfire,Low,https://www.youtube.com/results?search_query=flutter+bonfire,"dart, flutter, flutter-package, game, gamedev, gamedev-library",(RPG maker) Create RPG-style or similar games more simply with Flame.,bonfire: a Flutter developer's guide,bonfire,Planned
267,flui,Rannie/flui,https://github.com/Rannie/flui,UI/Components,Dart,1453,134,14,2019-07-04,2023-05-18,1155,363,357,Low,P8,,https://pub.dev/packages/flui,Low,https://www.youtube.com/results?search_query=flutter+flui,"dynamic-rendering, flui, flutter, flutter-package, flutter-ui, flutter-widget",A powerful UI framework for Google Flutter.,Build better Flutter UI with flui,flui,Planned
268,flutter_billing_app,Dinesh-Sowndar/flutter_billing_app,https://github.com/Dinesh-Sowndar/flutter_billing_app,App/Template,Dart,1426,682,7,2026-02-27,2026-03-11,127,927,225,Medium,P5,,https://pub.dev/packages/flutter_billing_app,Low,https://www.youtube.com/results?search_query=flutter+flutter-billing-app,,,Inside flutter_billing_app: an open-source Flutter app worth studying,flutter-billing-app,Planned
269,ResponsiveFramework,Codelessly/ResponsiveFramework,https://github.com/Codelessly/ResponsiveFramework,Backend/Data,Dart,1400,159,42,2020-02-16,2025-06-09,402,350,364,Low,P8,,,Low,https://www.youtube.com/results?search_query=flutter+responsiveframework,"android, bootstrap, bootstrap4, demo, flutter, flutter-plugin",Easily make Flutter apps responsive. Automatically adapt UI to different screen sizes. Responsiveness made simple. Demo: https://gallery.codelessly.com/flutterw,Data & backend in Flutter using ResponsiveFramework,responsiveframework,Planned
270,flutter_easyloading,nslogx/flutter_easyloading,https://github.com/nslogx/flutter_easyloading,Animation,Dart,1334,249,101,2019-12-23,2024-05-26,781,334,371,Low,P8,,https://pub.dev/packages/flutter_easyloading,Low,https://www.youtube.com/results?search_query=flutter+flutter-easyloading,"android, custom-animation, dart, dartlang, flutter, flutter-easyloading","✨A clean and lightweight loading/toast widget for Flutter, easy to use without context, support iOS、Android and Web",Beautiful Flutter animations with flutter_easyloading,flutter-easyloading,Planned
271,flutter_offline,jogboms/flutter_offline,https://github.com/jogboms/flutter_offline,UI/Components,Dart,1324,130,10,2018-09-05,2026-01-06,191,596,270,Medium,P6,,https://pub.dev/packages/flutter_offline,Low,https://www.youtube.com/results?search_query=flutter+flutter-offline,"android, connectivity, connectivity-manager, dart-library, dartlang, flutter",✈️ A tidy utility to handle offline/online connectivity like a Boss,Build better Flutter UI with flutter_offline,flutter-offline,Planned
272,lottie-flutter,xvrh/lottie-flutter,https://github.com/xvrh/lottie-flutter,Animation,Dart,1291,223,154,2020-01-23,2026-07-08,8,1291,190,Medium,P4,,,Low,https://www.youtube.com/results?search_query=flutter+lottie-flutter,"dart, flutter, flutter-web, flutter-widget, lottie, lottie-android",Render After Effects animations natively on Flutter. This package is a pure Dart implementation of a Lottie player.,Beautiful Flutter animations with lottie-flutter,lottie-flutter,Planned
273,liquid_swipe_flutter,iamSahdeep/liquid_swipe_flutter,https://github.com/iamSahdeep/liquid_swipe_flutter,UI/Components,Dart,1266,164,7,2019-07-06,2024-02-08,889,316,372,Low,P8,,https://pub.dev/packages/liquid_swipe_flutter,Low,https://www.youtube.com/results?search_query=flutter+liquid-swipe-flutter,"flutter, flutter-app, flutter-apps, flutter-material, flutter-package, flutter-plugin",A flutter based liquid swipe,Build better Flutter UI with liquid_swipe_flutter,liquid-swipe-flutter,Planned
274,flutter-login-home-animation,GeekyAnts/flutter-login-home-animation,https://github.com/GeekyAnts/flutter-login-home-animation,Animation,Dart,1261,273,12,2018-03-19,2026-01-31,166,820,241,Medium,P5,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-login-home-animation,,,Beautiful Flutter animations with flutter-login-home-animation,flutter-login-home-animation,Planned
275,sceneview,sceneview/sceneview,https://github.com/sceneview/sceneview,AI/ML,Kotlin,1257,228,29,2021-11-09,2026-07-16,0,1257,192,Medium,P4,,,Low,https://www.youtube.com/results?search_query=flutter+sceneview,"3d, ai, android, ar, arcore, arkit","3D & AR SDK for Android (Jetpack Compose + Filament), iOS (SwiftUI + RealityKit), and Web. AI-first: llms.txt, MCP server, Copilot/Cursor rules. The only Compos",Add AI to your Flutter app with sceneview,sceneview,Planned
276,haka_comic,raoxwup/haka_comic,https://github.com/raoxwup/haka_comic,App/Template,Dart,1250,34,19,2025-02-23,2026-07-13,3,1250,193,Medium,P4,,https://pub.dev/packages/haka_comic,Low,https://www.youtube.com/results?search_query=flutter+haka-comic,"android-app, bika, comic, flutter, ios-app, macos-app",哔咔漫画(PicACG/Bika/Pica)第三方跨平台客户端，清爽无广告,Inside haka_comic: an open-source Flutter app worth studying,haka-comic,Planned
277,findseat,KhoaSuperman/findseat,https://github.com/KhoaSuperman/findseat,State management,Dart,1220,363,3,2020-02-01,2022-03-20,1579,305,377,Low,P8,,,Low,https://www.youtube.com/results?search_query=flutter+findseat,"clean-architecture, flutter, flutter-app, flutter-apps, flutter-demo, flutter-example-app",A Completed Functional Flutter App - FindSeat (BLoC + Json API + Unit Test + Firebase Auth),State management in Flutter with findseat: a practical guide,findseat,Planned
278,SocialMedia-App,CharlyKeleb/SocialMedia-App,https://github.com/CharlyKeleb/SocialMedia-App,Backend/Data,Dart,1211,379,24,2020-11-30,2025-03-30,473,303,378,Low,P8,,,Low,https://www.youtube.com/results?search_query=flutter+socialmedia-app,"chat, chat-application, dart, dart-frameworks, firebase, flutter",A fully functional social media app built with flutter with multiple features,Data & backend in Flutter using SocialMedia-App,socialmedia-app,Planned
279,flutter-food-delivery-app-ui,Tarikul711/flutter-food-delivery-app-ui,https://github.com/Tarikul711/flutter-food-delivery-app-ui,UI/Components,Dart,1202,603,11,2020-04-01,2024-08-03,712,300,379,Low,P8,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-food-delivery-app-ui,"dominos, ecommerce, ecommerce-application, ecommerce-shopping-solution, flutter, flutter-apps",The food ordering & delivery application designed based on the real-life scenario. Anyone can use this code on their own purpose. If you are interested please m,Build better Flutter UI with flutter-food-delivery-app-ui,flutter-food-delivery-app-ui,Planned
280,FlutterTravel,JideGuru/FlutterTravel,https://github.com/JideGuru/FlutterTravel,UI/Components,Dart,1200,315,1,2019-07-02,2023-08-17,1064,300,380,Low,P8,,,Low,https://www.youtube.com/results?search_query=flutter+fluttertravel,"flutter, flutter-mobile, flutter-ui, travel-app, ui",Flutter representation of a Travel App Concept.,Build better Flutter UI with FlutterTravel,fluttertravel,Planned
281,flex_color_scheme,rydmike/flex_color_scheme,https://github.com/rydmike/flex_color_scheme,UI/Components,Dart,1185,124,14,2020-12-16,2026-01-06,191,533,288,Medium,P6,,https://pub.dev/packages/flex_color_scheme,Low,https://www.youtube.com/results?search_query=flutter+flex-color-scheme,"color-scheme, color-surface-branding, colorscheme, dark-themes, dart, flex-family",A Flutter package to make and use beautiful color scheme based themes.,Build better Flutter UI with flex_color_scheme,flex-color-scheme,Planned
282,awesome-flutter-ui,ajay-prabhakar/awesome-flutter-ui,https://github.com/ajay-prabhakar/awesome-flutter-ui,Learning/Awesome,Dart,1179,153,2,2020-05-10,2021-03-17,1947,295,381,Low,P8,,,Low,https://www.youtube.com/results?search_query=flutter+awesome-flutter-ui,"adobe-xd, android, awesome-list, dart, example, figma","10+ flutter(android, ios) UI design examples :zap: - login, books, profile, food order, movie streaming, walkthrough, widgets",awesome-flutter-ui: a curated shortcut to mastering Flutter,awesome-flutter-ui,Planned
283,tdesign-flutter,Tencent/tdesign-flutter,https://github.com/Tencent/tdesign-flutter,UI/Components,Dart,1168,181,94,2023-11-28,2026-06-17,29,1168,202,Medium,P5,,,Low,https://www.youtube.com/results?search_query=flutter+tdesign-flutter,,A Flutter UI components lib for TDesign.,Build better Flutter UI with tdesign-flutter,tdesign-flutter,Planned
284,lotti,matthiasn/lotti,https://github.com/matthiasn/lotti,AI/ML,Dart,1150,114,7,2016-03-16,2026-07-16,0,1150,204,Medium,P5,,,Low,https://www.youtube.com/results?search_query=flutter+lotti,"agentic-ai, agentic-workflow, ai, android-app, flutter, health","Open-source private logbook with a local agentic layer. Long-living AI agents read what you record and propose what to do next. Hardware permitting, the models ",Add AI to your Flutter app with lotti,lotti,Planned
285,Grocery-App,Widle-Studio/Grocery-App,https://github.com/Widle-Studio/Grocery-App,UI/Components,Dart,1137,515,2,2019-01-01,2023-04-07,1196,284,384,Low,P8,,,Low,https://www.youtube.com/results?search_query=flutter+grocery-app,"dart, ecommerce, ecommerce-application, ecommerce-shopping-solution, ecommerce-store, flutter","Flutter Grocery Shopping App (Mobile App, Web App)",Build better Flutter UI with Grocery-App,grocery-app,Planned
286,wave,glorylab/wave,https://github.com/glorylab/wave,Animation,Dart,1126,96,22,2018-11-28,2026-07-13,3,1126,206,Medium,P5,,,Low,https://www.youtube.com/results?search_query=flutter+wave,"animation, dart, dartlang, flutter, wave",A Flutter package for displaying waves.,Beautiful Flutter animations with wave,wave,Planned
287,astral,ldoubil/astral,https://github.com/ldoubil/astral,Library/Tooling,Dart,1095,63,16,2025-03-15,2026-07-16,0,1095,208,Medium,P5,,,Low,https://www.youtube.com/results?search_query=flutter+astral,"astral, et, p2p",去中心化组网工具,astral: a Flutter developer's guide,astral,Planned
288,bottom_navy_bar,pedromassango/bottom_navy_bar,https://github.com/pedromassango/bottom_navy_bar,Animation,Dart,1093,221,23,2019-01-31,2024-12-14,579,273,388,Low,P8,,https://pub.dev/packages/bottom_navy_bar,Low,https://www.youtube.com/results?search_query=flutter+bottom-navy-bar,"flutter, flutter-apps, flutter-material, flutter-package, flutter-plugin, flutter-widget", A beautiful and animated bottom navigation,Beautiful Flutter animations with bottom_navy_bar,bottom-navy-bar,Planned
289,my_flutter_challenges,pedromassango/my_flutter_challenges,https://github.com/pedromassango/my_flutter_challenges,UI/Components,Dart,1085,263,6,2019-01-11,2022-07-15,1462,271,389,Low,P8,,https://pub.dev/packages/my_flutter_challenges,Low,https://www.youtube.com/results?search_query=flutter+my-flutter-challenges,"android-ui, flutter, flutter-apps, flutter-demo, flutter-examples, flutter-material",Flutter project containing all my flutter UI challenges,Build better Flutter UI with my_flutter_challenges,my-flutter-challenges,Planned
290,equatable,felangel/equatable,https://github.com/felangel/equatable,Library/Tooling,Dart,1080,119,11,2019-01-06,2026-07-05,11,1080,209,Medium,P5,,https://pub.dev/packages/equatable,Low,https://www.youtube.com/results?search_query=flutter+equatable,"dart, dartlang, equality, equality-comparison, flutter, flutter-package",A Dart package that helps to implement value based equality without needing to explicitly override == and hashCode.,equatable: a Flutter developer's guide,equatable,Planned
291,flutter_ui_kit_obkm,bukunmialuko/flutter_ui_kit_obkm,https://github.com/bukunmialuko/flutter_ui_kit_obkm,UI/Components,Dart,1079,295,1,2021-12-22,2026-05-15,62,917,227,Medium,P5,,https://pub.dev/packages/flutter_ui_kit_obkm,Low,https://www.youtube.com/results?search_query=flutter+flutter-ui-kit-obkm,"flutter, flutter-apps, flutter-ui, uikit",100+ Mobile UI Kit,Build better Flutter UI with flutter_ui_kit_obkm,flutter-ui-kit-obkm,Planned
292,FlutterPlayground,ibhavikmakwana/FlutterPlayground,https://github.com/ibhavikmakwana/FlutterPlayground,Animation,Dart,1063,210,3,2018-06-27,2023-04-07,1196,266,391,Low,P8,,,Low,https://www.youtube.com/results?search_query=flutter+flutterplayground,"animated-icons, animatedswitcher, animation, appbar, backdropfilter, bottom-navigation",Playground app for Flutter,Beautiful Flutter animations with FlutterPlayground,flutterplayground,Planned
293,simple_animations,felixblaschke/simple_animations,https://github.com/felixblaschke/simple_animations,Animation,Dart,1059,104,0,2019-03-30,2026-05-23,54,900,229,Medium,P5,,https://pub.dev/packages/simple_animations,Low,https://www.youtube.com/results?search_query=flutter+simple-animations,,Flutter package for creating awesome animations.,Beautiful Flutter animations with simple_animations,simple-animations,Planned
294,MotionEaseTune,BHznJNs/MotionEaseTune,https://github.com/BHznJNs/MotionEaseTune,Animation,Dart,1058,26,2,2025-04-23,2026-04-26,81,899,231,Medium,P5,,,Low,https://www.youtube.com/results?search_query=flutter+motioneasetune,"android-application, flutter-apps, motion-sickness",A simple application that can prevent you from motion sickness via 100Hz sound.,Beautiful Flutter animations with MotionEaseTune,motioneasetune,Planned
295,before_after,xsahil03x/before_after,https://github.com/xsahil03x/before_after,Library/Tooling,Dart,1031,109,2,2019-07-15,2024-11-16,607,258,394,Low,P8,,https://pub.dev/packages/before_after,Low,https://www.youtube.com/results?search_query=flutter+before-after,"before-after, dart, flutter, flutter-package, hacktoberfest, slider",A flutter package which makes it easier to display the difference between two images.,before_after: a Flutter developer's guide,before-after,Planned
296,nobodywho,nobodywho-ooo/nobodywho,https://github.com/nobodywho-ooo/nobodywho,AI/ML,Rust,1029,72,28,2024-09-03,2026-07-16,0,1029,213,Medium,P5,,,Low,https://www.youtube.com/results?search_query=flutter+nobodywho,"ai, flutter, godot, godot-engine, godot-plugin, godot4",NobodyWho is an inference engine that lets you run LLMs locally and efficiently on any device.  ,Add AI to your Flutter app with nobodywho,nobodywho,Planned
297,betterplayer,jhomlala/betterplayer,https://github.com/jhomlala/betterplayer,Library/Tooling,Dart,1019,1384,382,2020-03-05,2024-07-24,722,255,395,Low,P8,,https://pub.dev/packages/betterplayer,Low,https://www.youtube.com/results?search_query=flutter+betterplayer,"android, dart, dart-library, dartlang, flutter, flutter-package","Better video player for Flutter, with multiple configuration options. Solving typical use cases!",betterplayer: a Flutter developer's guide,betterplayer,Planned
298,keframe,LianjiaTech/keframe,https://github.com/LianjiaTech/keframe,UI/Components,Dart,1004,107,9,2021-06-30,2023-04-14,1189,251,396,Low,P8,,,Low,https://www.youtube.com/results?search_query=flutter+keframe,"flutter, optimization",Components that optimize Flutter fluency.（Flutter 流畅度优化的通用方案，轻松解决卡顿问题）,Build better Flutter UI with keframe,keframe,Planned
299,flutter-rehberi,flutterturkey/flutter-rehberi,https://github.com/flutterturkey/flutter-rehberi,Library/Tooling,,994,110,0,2020-06-17,2022-07-02,1475,248,398,Low,P8,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-rehberi,"flutter, flutter-package, resources, turkce-dokuman, turkce-kaynak",Flutter için Türkçe ve İngilizce kaynakların toplandığı rehber,flutter-rehberi: a Flutter developer's guide,flutter-rehberi,Planned
300,simutil,dungngminh/simutil,https://github.com/dungngminh/simutil,UI/Components,Dart,994,115,1,2026-02-19,2026-07-11,5,994,216,Medium,P5,,,Low,https://www.youtube.com/results?search_query=flutter+simutil,"android, cli, ios, terminal, tui",It's not just a cross-platform TUI app that quickly opens Android & iOS emulators/simulators ,Build better Flutter UI with simutil,simutil,Planned
301,flutter-development-roadmap,Tarikul711/flutter-development-roadmap,https://github.com/Tarikul711/flutter-development-roadmap,Learning/Awesome,,973,241,4,2020-08-23,2023-06-01,1141,243,399,Low,P8,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-development-roadmap,"android-application, awesome, bloc, cross-platform, developer-roadmap, firebase",Flutter App Developer Roadmap - A complete roadmap to learn Flutter App Development. I tried to learn flutter using this roadmap. If you want to add something p,flutter-development-roadmap: a curated shortcut to mastering Flutter,flutter-development-roadmap,Planned
302,ccpocket,K9i-0/ccpocket,https://github.com/K9i-0/ccpocket,App/Template,Dart,973,91,8,2026-02-06,2026-07-16,0,973,218,Medium,P5,,,Low,https://www.youtube.com/results?search_query=flutter+ccpocket,"android, app-server, bridge-server, claude-code, cli, codex",Mobile client for Codex and Claude — control coding agents from your phone via WebSocket bridge,Inside ccpocket: an open-source Flutter app worth studying,ccpocket,Planned
303,Taskez,Davies-K/Taskez,https://github.com/Davies-K/Taskez,UI/Components,Dart,967,189,1,2021-07-22,2023-11-04,985,242,400,Low,P8,,,Low,https://www.youtube.com/results?search_query=flutter+taskez,"android, android-ui-kit, flutter, flutter-example, flutter-ui, flutter-ui-kit",A Productivity Mobile Application UI kit built with Flutter,Build better Flutter UI with Taskez,taskez,Planned
304,flutter-settings-ui,yako-dev/flutter-settings-ui,https://github.com/yako-dev/flutter-settings-ui,UI/Components,Dart,959,239,4,2019-12-04,2026-04-10,97,623,263,Medium,P6,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-settings-ui,"adaptive, android, dart, flutter, flutter-package, ios",Create native settings for Flutter app in a minutes.,Build better Flutter UI with flutter-settings-ui,flutter-settings-ui,Planned
305,flutter-examples,ckdevrel/flutter-examples,https://github.com/ckdevrel/flutter-examples,UI/Components,,942,147,1,2018-08-19,2020-06-23,2214,236,402,Low,P9,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-examples,"flutter, flutter-android, flutter-apps, flutter-demo, flutter-design, flutter-examples",An ultimate cheatbook of curated designs,Build better Flutter UI with flutter-examples,flutter-examples,Planned
306,olib-mobile,shiyi-0x7f/olib-mobile,https://github.com/shiyi-0x7f/olib-mobile,AI/ML,Dart,919,38,14,2025-12-15,2026-05-29,48,781,245,Medium,P5,,,Low,https://www.youtube.com/results?search_query=flutter+olib-mobile,,"🤖 An open-source ebook reader built entirely with AI assistance. Third-party client, frontend interface only.",Add AI to your Flutter app with olib-mobile,olib-mobile,Planned
307,wanandroid_flutter,yechaoa/wanandroid_flutter,https://github.com/yechaoa/wanandroid_flutter,Backend/Data,Dart,911,191,5,2019-05-05,2023-04-02,1201,228,405,Low,P9,,https://pub.dev/packages/wanandroid_flutter,Low,https://www.youtube.com/results?search_query=flutter+wanandroid-flutter,"dio, flutter, flutter-apps, flutter-examples, flutter-widget, fluttertoast",:collision::collision::collision:【Flutter版】玩安卓，非常适合学习，代码不多、注释多。,Data & backend in Flutter using wanandroid_flutter,wanandroid-flutter,Planned
308,material-components-flutter,material-components/material-components-flutter,https://github.com/material-components/material-components-flutter,UI/Components,Dart,911,195,14,2018-02-26,2022-09-24,1391,228,406,Low,P9,,,Low,https://www.youtube.com/results?search_query=flutter+material-components-flutter,"flutter, material, material-components, material-design",Modular and customizable Material Design UI components for Flutter,Build better Flutter UI with material-components-flutter,material-components-flutter,Planned
309,shadcn_flutter,sunarya-thito/shadcn_flutter,https://github.com/sunarya-thito/shadcn_flutter,UI/Components,Dart,905,118,24,2024-02-12,2026-07-15,1,905,228,Medium,P5,,https://pub.dev/packages/shadcn_flutter,Low,https://www.youtube.com/results?search_query=flutter+shadcn-flutter,"flutter, flutter-package, shadcn-ui, ui, ui-components",A cohesive shadcn/ui ecosystem for Flutter,Build better Flutter UI with shadcn_flutter,shadcn-flutter,Planned
310,stac,StacDev/stac,https://github.com/StacDev/stac,Animation,Dart,896,106,18,2024-07-24,2026-07-15,1,896,232,Medium,P5,,https://pub.dev/packages/stac,Low,https://www.youtube.com/results?search_query=flutter+stac,"android, cross-platform, dart, desktop, dynamic-ui, flutter","Stac is a Server-Driven UI (SDUI) framework for Flutter, enabling you to create stunning, cross-platform applications dynamically with JSON. Build and update yo",Beautiful Flutter animations with stac,stac,Planned
311,Uncensored-Local-AI-Multiplatform,techjarves/Uncensored-Local-AI-Multiplatform,https://github.com/techjarves/Uncensored-Local-AI-Multiplatform,AI/ML,Dart,894,192,32,2026-04-19,2026-05-21,56,760,247,Medium,P5,,,Low,https://www.youtube.com/results?search_query=flutter+uncensored-local-ai-multiplatform,"flutter, local-ai, uncensored-ai","A cross-platform Flutter app that runs uncensored, 100% offline open-source AI models (GGUF) directly on your Android, iOS, or PC. No cloud, no filters, total p",Add AI to your Flutter app with Uncensored-Local-AI-Multiplatform,uncensored-local-ai-multiplatform,Planned
312,figma-to-flutter,aloisdeniel/figma-to-flutter,https://github.com/aloisdeniel/figma-to-flutter,UI/Components,Dart,876,134,13,2018-07-27,2021-10-10,1740,219,408,Low,P9,,,Low,https://www.youtube.com/results?search_query=flutter+figma-to-flutter,"dart, figma, flutter, generator",A Dart code generator that converts Figma components to Flutter widgets.,Build better Flutter UI with figma-to-flutter,figma-to-flutter,Planned
313,flutter-packages,material-foundation/flutter-packages,https://github.com/material-foundation/flutter-packages,UI/Components,Dart,863,172,27,2019-12-10,2026-05-01,76,734,248,Medium,P5,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-packages,"flutter, flutter-package",A collection of useful Material Design packages,Build better Flutter UI with flutter-packages,flutter-packages,Planned
314,flutter-ecommerce,Tarikul711/flutter-ecommerce,https://github.com/Tarikul711/flutter-ecommerce,UI/Components,Dart,861,328,2,2020-03-28,2020-10-08,2107,215,409,Low,P9,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-ecommerce,"android, ecommerce, ecommerce-application, ecommerce-shopping-solution, evaly, flutter",A small attempt to make an e-commerce user interface in Flutter for Android and iOS.,Build better Flutter UI with flutter-ecommerce,flutter-ecommerce,Planned
315,Flutter_Pinput,Tkko/Flutter_Pinput,https://github.com/Tkko/Flutter_Pinput,Animation,Dart,856,214,41,2018-10-24,2026-02-04,162,556,278,Medium,P6,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-pinput,"android-autofill, autofill, code, flutter, flutter-package, flutter-pin-code","Flutter package to create Pin code input text field with every pixel customization possibility 🎨 with beautiful animations, iOS autofill, Android autofill",Beautiful Flutter animations with Flutter_Pinput,flutter-pinput,Planned
316,Flutter-AI-Rubik-cube-Solver,brinesoftwares/Flutter-AI-Rubik-cube-Solver,https://github.com/brinesoftwares/Flutter-AI-Rubik-cube-Solver,AI/ML,Dart,855,242,6,2020-09-05,2021-01-16,2007,214,410,Low,P9,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-ai-rubik-cube-solver,"ai, android, color-classification, flutter, image-processing, ios-app",Flutter-Python rubiks cube solver.,Add AI to your Flutter app with Flutter-AI-Rubik-cube-Solver,flutter-ai-rubik-cube-solver,Planned
317,Caption-Trans,cddqssc/Caption-Trans,https://github.com/cddqssc/Caption-Trans,Library/Tooling,Dart,842,59,5,2026-03-14,2026-03-23,115,547,282,Medium,P6,,,Low,https://www.youtube.com/results?search_query=flutter+caption-trans,,A one-stop video subtitle translation tool,Caption-Trans: a Flutter developer's guide,caption-trans,Planned
318,livebridge,appsfolder/livebridge,https://github.com/appsfolder/livebridge,App/Template,Dart,842,32,53,2026-02-22,2026-05-16,61,716,251,Medium,P6,,,Low,https://www.youtube.com/results?search_query=flutter+livebridge,"android, android-application, dynamic-island-android, live-updates, utility",Level up your dynamic pill/island on Android,Inside livebridge: an open-source Flutter app worth studying,livebridge,Planned
319,talker,Frezyx/talker,https://github.com/Frezyx/talker,App/Template,Dart,838,122,84,2022-01-03,2026-07-15,1,838,239,Medium,P5,,https://pub.dev/packages/talker,Low,https://www.youtube.com/results?search_query=flutter+talker,"crash-reporting, dart, dart-library, dart-package, dartlang, error-handling",☎️ Advanced error handler and logger for dart and flutter apps,Inside talker: an open-source Flutter app worth studying,talker,Planned
320,MaliangAINovalWriter,Deng-m1/MaliangAINovalWriter,https://github.com/Deng-m1/MaliangAINovalWriter,AI/ML,Dart,836,239,8,2025-09-09,2026-04-15,92,543,283,Medium,P6,,,Low,https://www.youtube.com/results?search_query=flutter+maliangainovalwriter,"ainovel, novel, writer-tools","马良AI写作是一个专为小说作者与平台运营者设计的智能化创作平台。它结合了强大的AI模型（支持OpenAI, Gemini, Anthropic等）与专业的在线富文本编辑器，旨在帮助作者激发灵感、提高写作效率、管理创作内容，同时为平台管理员提供了强大的后台管理与监控功能。",Add AI to your Flutter app with MaliangAINovalWriter,maliangainovalwriter,Planned
321,direct-select-flutter,LanarsInc/direct-select-flutter,https://github.com/LanarsInc/direct-select-flutter,Backend/Data,Dart,834,64,10,2019-03-15,2024-01-10,918,208,411,Low,P9,,,Low,https://www.youtube.com/results?search_query=flutter+direct-select-flutter,"flutter, flutter-ui, flutter-ui-collection, selection-widget, widget","DirectSelect is a selection widget with an ethereal, full-screen modal popup displaying the available choices when the widget is interact with. https://dribbble",Data & backend in Flutter using direct-select-flutter,direct-select-flutter,Planned
322,timelines,chulwoo-park/timelines,https://github.com/chulwoo-park/timelines,UI/Components,Dart,801,235,31,2020-11-16,2023-02-06,1256,200,413,Low,P9,,https://pub.dev/packages/timelines,Low,https://www.youtube.com/results?search_query=flutter+timelines,"dart, flutter, flutter-package, flutter-ui, flutter-widget, flutter-widgets",A powerful & easy to use timeline package for Flutter! 🚀,Build better Flutter UI with timelines,timelines,Planned
323,flutter-provide,google/flutter-provide,https://github.com/google/flutter-provide,State management,Dart,801,53,11,2019-02-14,2021-06-24,1848,200,414,Low,P9,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-provide,"flutter, state-management",A simple framework for state management in Flutter.,State management in Flutter with flutter-provide: a practical guide,flutter-provide,Planned
324,pin_code_fields,adar2378/pin_code_fields,https://github.com/adar2378/pin_code_fields,Animation,Dart,791,385,0,2019-07-27,2026-05-20,57,672,258,Medium,P6,,https://pub.dev/packages/pin_code_fields,Low,https://www.youtube.com/results?search_query=flutter+pin-code-fields,"android, animation, dart, flutter, ios, otp",A flutter package which will help you to generate pin code fields with beautiful design and animations. Can be useful for OTP or pin code inputs 🤓🤓,Beautiful Flutter animations with pin_code_fields,pin-code-fields,Planned
325,google_nav_bar,sooxt98/google_nav_bar,https://github.com/sooxt98/google_nav_bar,Navigation,Dart,790,117,20,2019-12-22,2024-11-30,593,198,415,Low,P9,,https://pub.dev/packages/google_nav_bar,Low,https://www.youtube.com/results?search_query=flutter+google-nav-bar,"bottombar, bottomnavigationbar, bubble-navigation, flutter, flutter-apps, flutter-material",A modern google style nav bar for flutter.,Flutter navigation done right with google_nav_bar,google-nav-bar,Planned
326,catcher,jhomlala/catcher,https://github.com/jhomlala/catcher,App/Template,Dart,788,184,29,2019-01-29,2024-08-10,705,197,416,Low,P9,,https://pub.dev/packages/catcher,Low,https://www.youtube.com/results?search_query=flutter+catcher,"android, dart, dartlang, flutter, flutter-examples, flutter-package",Flutter error catching & handling plugin. Handles and reports exceptions in your app!,Inside catcher: an open-source Flutter app worth studying,catcher,Planned
